Epoch 1, Loss: 0.14749841392040253
Epoch 2, Loss: 0.03512042015790939
Epoch 3, Loss: 0.12077698856592178
Epoch 4, Loss: 0.0295538492500782
Epoch 5, Loss: 0.04331273213028908
Epoch 6, Loss: 0.040117621421813965
Epoch 7, Loss: 0.03122521936893463
Epoch 8, Loss: 0.08467192202806473
Epoch 9, Loss: 0.0029725513886660337
Epoch 10, Loss: 0.12311655282974243
Epoch 11, Loss: 0.004145391751080751
Epoch 12, Loss: 0.009853522293269634
Epoch 13, Loss: 0.050638582557439804
Epoch 14, Loss: 0.011532285250723362
Epoch 15, Loss: 0.011622577905654907
Epoch 16, Loss: 0.002295181853696704
Epoch 17, Loss: 0.012755406089127064
Epoch 18, Loss: 0.00031205645063892007
Epoch 19, Loss: 0.0003736028738785535
Epoch 20, Loss: 0.14515523612499237
Validation Accuracy: 96.94%
